Id;Référence;Empreinte;Quantité;Désignation;Fournisseur;Prix unitaire (04/04/2026);Remarques
11;C1;C_0805_2012Metric;1;10u;Wurth;;
36;C3;C_0805_2012Metric;1;0.68u;Wurth;;
13;C4;C_0805_2012Metric;1;33n;Wurth;;
10;C5;C_0805_2012Metric;1;330n;Wurth;;
27;C6;C_0805_2012Metric;1;1.2u;Wurth;;
24;C7;C_0805_2012Metric;1;220n;Wurth;;
6;C8,C2;C_0805_2012Metric;2;C_Small;Wurth;;
3;D1;D_SOD-523;1;1N914BWT;RS;0,031;
31;D2;D_SMC;1;MBRS340;RS;*;
16;D4;D_SOD-123;1;ATV02W150-HF;Mouser;0,282;
2;D5;D_SOD-123;1;MBR0540-TP;Mouser;0,097;
21;F1;FUSC4632X165N;1;SMD1812B300TFT;Mouser;0,147;
22;IC1;SOIC-8_3.9x4.9mm_P1.27mm;1;LT1959CS8#PBF;Mouser;9,98;
7;J1;SHDR2W90P0X508_1X2_1076X1135X1810P;1;Conn_01x02;Wurth;;
19;L1;WE-PD_1260_1245_1280_121054;1;4.7u;Wurth;;
15;L2;WE-PD_1260_1245_1280_121054;1;68u;Wurth;;
26;L3;WE-PD_1260_1245_1280_121054;1;680u;Wurth;;
35;R2;R_0805_2012Metric;1;4.7k;Wurth;;
18;R3;R_0805_2012Metric;1;2.7k;Wurth;;
28;R4;R_0805_2012Metric;1;220;Wurth;;
32;R5;RESC6432X120N;1;47;Farnell;0,49;
30;R6;RESC6432X120N;1;15;Farnell;0,48;
17;R7;RESC6432X120N;1;5.6;Farnell;0,497;
4;R8,R1;R_0805_2012Metric;2;200;Wurth;;
23;S1,S3,S2;L203011MS02Q;3;L203011MS02Q;Mouser;3,6;
1;T2,T1;PA1005100NL;2;PA1005.100NL;Mouser;1,38;
25;TP1;5000;1;i_c-;RS;0,184;blanc
5;TP10;5000;1;V_s;RS;0,184;rouge
9;TP11,TP6;5000;2;GND;RS;0,183;noir
20;TP2;5000;1;i_c+;RS;0,184;blanc
33;TP3;5000;1;V_in;RS;0,184;rouge
34;TP4;5000;1;V_fb;RS;0,184;vert
29;TP5;5000;1;V_c;RS;0,184;vert
12;TP7;5000;1;V_sw;RS;0,184;vert
14;TP8;5000;1;i_l-;RS;0,184;blanc
8;TP9;5000;1;i_l+;RS;0,184;blanc
;;;;;;;
;;;;;PRIX TOTAL;27,806;
