Id;Référence;Empreinte;Quantité;Désignation;Fournisseur et réf;Prix unitaire (04/04/2026);Remarques
20;C1;C_0805_2012Metric;1;10u;Wurth;;
10;C3;C_0805_2012Metric;1;0.68u;Wurth;;
25;C4;C_0805_2012Metric;1;33n;Wurth;;
21;C5;C_0805_2012Metric;1;330n;Wurth;;
36;C6;C_0805_2012Metric;1;1u;Wurth;;
30;C7;C_0805_2012Metric;1;220n;Wurth;;
14;C8,C2;C_0805_2012Metric;2;C_Small;Wurth;;emplacement si n�cessaire, ne pas souder dans la version actuelle
15;D1;D_SOD-523;1;1N914BWT;RS;0,031;
3;D2;DIOM7958X256N;1;MBRS330T3G;RS;;
27;D4;D_SMB_Handsoldering;1;SMBJ15A;Mouser;0,282;
17;D5;D_SOD-123;1;PMEG40T20ERX;Mouser;0,097;
37;F1;FUSC4632X165N;1;SMD1812B075TF/33;Mouser;0,147;
35;IC1;SOIC-8_3.9x4.9mm_P1.27mm;1;LT1959CS8#PBF;Mouser;9,98;
16;J1;SHDR2W90P0X508_1X2_1076X1135X1810P;1;Conn_01x02;Wurth;;
33;L1;WE-PD_1260_1245_1280_121054;1;4.7u;Wurth;;
26;L2;WE-PD_1260_1245_1280_121054;1;68u;Wurth;;
34;L3;WE-PD_1260_1245_1280_121054;1;680u;Wurth;;
8;R2;R_1206_3216Metric;1;4.7k;Wurth;;
28;R3;R_1206_3216Metric;1;2.7k;Wurth;;
4;R4;R_1206_3216Metric;1;220R;Wurth;;
2;R5;RESC6432X120N;1;5.7;Farnell;0,49;
6;R6;RESC6432X120N;1;15;Farnell;0,48;
24;R7;RESC6432X120N;1;47;Farnell;0,497;
13;R8,R1;R_0805_2012Metric;2;100;Wurth;;
19;R9;R_1206_3216Metric;1;0.5;Wurth;;
7;S2,S3,S1;L203011MS02Q;3;L203011MS02Q;Mouser;3,6;
5;T1,T2;PA1005100NL;2;PA1005.100NL;Mouser;1,38;
32;TP1;5000;1;i_c+;RS;0,184;blanc
22;TP10;5000;1;V_s;RS;0,184;rouge
31;TP2;5000;1;i_c-;RS;0,183;noir
9;TP3;5000;1;V_in;RS;0,184;blanc
11;TP4;5000;1;V_fb;RS;0,184;rouge
1;TP5;5000;1;V_c;RS;0,184;vert
12;TP6,TP11;5000;2;GND;RS;0,184;vert
29;TP7;5000;1;V_sw;RS;0,184;vert
23;TP8;5000;1;i_l+;RS;0,184;blanc
18;TP9;5000;1;i_l-;RS;0,184;blanc
